model_pair,benchmark,condition,n_items,delta,b_cnt,c_cnt,p,p_bonf,sig
Qwen2.5-0.5B→Qwen2.5-7B,gsm8k,T_030,200,0.0,0,0,1.0,1.0,False
Qwen2.5-0.5B→Qwen2.5-7B,gsm8k,T_050,200,-0.04999999999999999,10,0,0.001953125,0.1171875,False
Qwen2.5-0.5B→Qwen2.5-7B,gsm8k,T_070,200,-0.04999999999999999,10,0,0.001953125,0.1171875,False
Qwen2.5-0.5B→Qwen2.5-7B,gsm8k,T_100,200,-0.04999999999999999,10,0,0.001953125,0.1171875,False
Qwen2.5-0.5B→Qwen2.5-7B,gsm8k,T_150,200,-0.044999999999999984,9,0,0.00390625,0.234375,False
Qwen2.5-0.5B→Qwen2.5-7B,hellaswag,B,500,0.0,0,0,1.0,1.0,False
Qwen2.5-0.5B→Qwen2.5-7B,hellaswag,C_090,500,0.005999999999999998,14,17,0.7194375444233914,1.0,False
Qwen2.5-0.5B→Qwen2.5-7B,hellaswag,C_080,500,-0.0040000000000000036,17,15,0.8596837951986661,1.0,False
Qwen2.5-0.5B→Qwen2.5-7B,hellaswag,C_070,500,0.008,16,20,0.6170750774519739,1.0,False
Qwen2.5-0.5B→Qwen2.5-7B,hellaswag,C_060,500,0.005999999999999998,14,17,0.7194375444233914,1.0,False
Qwen2.5-0.5B→Qwen2.5-7B,hellaswag,T_030,500,-0.0020000000000000018,17,16,1.0,1.0,False
Qwen2.5-0.5B→Qwen2.5-7B,hellaswag,T_050,500,0.0020000000000000018,17,18,1.0,1.0,False
Qwen2.5-0.5B→Qwen2.5-7B,hellaswag,T_070,500,0.003999999999999997,17,19,0.8676323347781927,1.0,False
Qwen2.5-0.5B→Qwen2.5-7B,hellaswag,T_100,500,-0.012000000000000004,20,14,0.3911725228101395,1.0,False
Qwen2.5-0.5B→Qwen2.5-7B,hellaswag,T_150,500,-0.026000000000000002,20,7,0.020921335337794035,1.0,False
Qwen2.5-0.5B→Qwen2.5-7B,mmlu,B,500,0.0,0,0,1.0,1.0,False
Qwen2.5-0.5B→Qwen2.5-7B,mmlu,C_090,500,0.029999999999999916,28,43,0.09661420844785248,1.0,False
Qwen2.5-0.5B→Qwen2.5-7B,mmlu,C_080,500,0.020000000000000018,28,38,0.2679380840341765,1.0,False
Qwen2.5-0.5B→Qwen2.5-7B,mmlu,C_070,500,0.02400000000000002,31,43,0.20099425588307612,1.0,False
Qwen2.5-0.5B→Qwen2.5-7B,mmlu,C_060,500,0.041999999999999926,20,41,0.010445021384964219,0.6267012830978531,False
Qwen2.5-0.5B→Qwen2.5-7B,mmlu,T_030,500,0.05399999999999994,35,62,0.008293048632162231,0.49758291792973386,False
Qwen2.5-0.5B→Qwen2.5-7B,mmlu,T_050,500,0.03399999999999992,42,59,0.11137133501896605,1.0,False
Qwen2.5-0.5B→Qwen2.5-7B,mmlu,T_070,500,0.02200000000000002,52,63,0.35107570295550283,1.0,False
Qwen2.5-0.5B→Qwen2.5-7B,mmlu,T_100,500,-0.026000000000000023,76,63,0.30876031352752964,1.0,False
Qwen2.5-0.5B→Qwen2.5-7B,mmlu,T_150,500,-0.15600000000000003,126,48,5.303603572796388e-09,3.1821621436778327e-07,True
